"Date","Surname","Forenames","DOB","DOD","VIAF","Sex","Orientation","Orientation URL","Indigenous affilication","Indigenous affilication URL","RSNZ bio",,"Wikipedia name"
1992,"Beaglehole","David",1938,2014,,,,,,,,,
1947,"Beaglehole","Ernest",1906,1965,,,,,,,,,
1967,"Beaglehole","John Cawte",1901,1971,,,,,,,,,
1995,"Beaglehole","Robert",,,,,,,,,,,
2000,"Bedford","Richard Dodgshun",,,,,,,,,,,
2004,"Beever","Ross Ewen",1946,2010,,,,,,,,,
2009,"Belich","James",,,,,,,,,,,
1952,"Bell","Muriel E.",1898,1974,,"female",,,,,,,
1989,"Bellamy","Alfred Richard",,,,,,,,,,,
"Original","Benham","William Blaxland",1860,1950,,,,,,,,,
1926,"Benson","William Noel",1885,1957,,,,,,,,,
2005,"Bercovitch","Jacob",1947,2011,,,,,,,,,
1982,"Bergquist","Patricia",1933,2009,,"female",,,,,,,
1974,"Bergquist","Peter Leonard",,,,,,,,,,,
"Original","Best","Elsdon",1856,1931,,,,,,,,,
1997,"Beu","Alan Glenn",,,,,,,,,,,
2000,"Bhattacharyya","Debes",,,,,,,,,,,
1998,"Bibby","Hugh Mannering",,,,,,,,,,,
1973,"Bieleski","Roderick Leon",,,,,,,,,,,
1961,"Bielschowsky","Franz David",1902,1965,,,,,,,,,
1966,"Biggs","Bruce Grandison",1921,2000,,,,,,,,,
2013,"Billinghurst","Mark Nathan",,,,,,,,,,,
1998,"Binney","Judith Mary Caroline",1940,2011,,"female",,,,,,,
1983,"Black","Philippa Margaret",,,,"female",,,,,,,
2011,"Blaikie","Richard John",,,,,,,,,,,
2000,"Blunt","John Wilson",,,,,,,,,,,
1998,"Bollard","Alan Esmond",,,,,,,,,,,
1964,"Bollard","Edward George",1920,2011,,,,,,,,,
2005,"Bowden","Roger John",,,,,,,,,,,
2001,"Bowmaker","Graham Arthur",,,,,,,,,,,
2009,"Boyd","Brian",,,,,,,,,,,
2009,"Boyd","Philip Wallace",,,,,,,,,,,
1993,"Boys","John Talbot",,,,,,,,,,,
2003,"Bradford-Grieve","Janet Mary",,,,"female",,,,,,,
1999,"Bradshaw","John Dudley",,,,,,,,,,,
2013,"Braithwaite","Antony Wharton",,,,,,,,,,,
1998,"Brennan","Stephen Oliver",,,,,,,,,,,
2000,"Bridges","Douglas Sutherland",,,,,,,,,,,
1942,"Briggs","Lindsay Heathcote",1905,1975,,,,,,,,,
2001,"Brimble","Margaret Anne",,,,"female",,,,,,,
1974,"Brodie","James William",1920,2009,,,,,,,,,
1985,"Brook","Peter John",1926,1996,,,,,,,,,
2007,"Brooker","Sally Anne",,,,"female",,,,,,,
1996,"Brooks","Robert Richard",1926,2001,,,,,,,,,
2008,"Broom","Neil David",,,,,,,,,,,
1975,"Brothers","Raymond Nicholas",1924,1988,,,,,,,,,
1963,"Brown","Dennis",1902,2002,,,,,,,,,
1999,"Brown","Ian William Murray",,,,,,,,,,,
1925,"Brown","J. Macmillan",1846,1935,,,,,,,,,
2002,"Browne","Patrick Richard Lee",,,,,,,,,,,
2009,"Bryder","Linda",,,,"female",,,,,,,
1925,"Buck","Peter H.",,,,,,,,,,,
1980,"Buckingham","David Anson",,,,,,,,,,,
2005,"Buckleton","John Simon",,,,,,,,,,,
2001,"Buckley","Robert George",,,,,,,,,,,
2008,"Buddle","Bryce Malcolm",,,,,,,,,,,
1992,"Bullivant","Stanley",1932,2006,,,,,,,,,
1992,"Burdon","Rowland David",,,,,,,,,,,
1993,"Burns","Carolyn Waugh",,,,"female",,,,,,,
1963,"Burns","Malcolm McRae",1910,1986,,,,,,,,,
2009,"Burrows","John Frederick",,,,,,,,,,,
1980,"Butcher","John Charles",,,,,,,,,,,
1965,"Butler","Graham Wesley",1928,2007,,,,,,,,,
1975,"Cain","Bruce Frank",1930,1981,,,,,,,,,
1961,"Callaghan","Francis Raymond",1891,1980,,,,,,,,,
1990,"Callaghan","Paul Terence",1947,2012,,,,,,,,,
1966,"Cambie","Richard Conrad",,,,,,,,,,,
1997,"Campbell","Lyle",,,,,,,,,,,
2008,"Cannell","Mark Bryden",,,,,,,,,,,
2006,"Caradus","John Russell",,,,,,,,,,,
2006,"Carmichael","Howard John",,,,,,,,,,,
1992,"Carnaby","Garth Alan",,,,,,,,,,,
2009,"Carnegie","David",,,,,,,,,,,
2014,"Carr","Stuart",,,,,,,,,,,
1980,"Carrell","Robin Wayne",,,,,,,,,,,
2004,"Carrington","Cedric Gerald",,,,,,,,,,,
2003,"Carter","Lionel",,,,,,,,,,,
1997,"Casswell","Sally",,,,"female",,,,,,,
1951,"Chalklin","Francis Cecil",1902,1954,,,,,,,,,
1959,"Chamberlain","Edwin Edinborough",1906,1993,,,,,,,,,
2010,"Chase","James Geoffrey",,,,,,,,,,,
"Original","Cheeseman","Thomas Frederic",1846,1923,,,,,,,,,
1996,"Chen","John Jiunn Jye",,,,,,,,,,,
2000,"Chen","Xiao Dong",,,,,,,,,,,
"Original","Chilton","Charles",1860,1929,,,,,,,,,
1984,"Christoffel","David Alec",1929,2014,,,,,,,,,
1994,"Clay","Marie",1926,2007,,"female",,,,,,,
1995,"Cleland","Andrew Charles",,,,,,,,,,,
1994,"Clothier","Brent Euan",,,,,,,,,,,
2010,"Clout","Michael Norman",,,,,,,,,,,
"Original","Cockayne","Leonard",1855,1934,,,,,,,,,
2004,"Cole","James William",,,,,,,,,,,
1968,"Collins","Edwin Richard",1916,2008,,,,,,,,,
2004,"Collins","Ian Frederick",,,,,,,,,,,
1998,"Conder","Marston Donald Edward",,,,,,,,,,,
2011,"Conner","Anthony John",,,,,,,,,,,
1983,"Connor","Henry Eamonn",,,,,,,,,,,
2013,"Cook","Gregory Murray",,,,,,,,,,,
1962,"Coombs","Douglas Saxon",,,,,,,,,,,
1991,"Cooney","Ralph Paul",,,,,,,,,,,
1998,"Cooper","Garth James Smith",,,,,,,,,,,
1988,"Cooper","Roger Alan",,,,,,,,,,,
2009,"Coote","Brian",,,,,,,,,,,
2011,"Copeland","Brian John",,,,,,,,,,,
1982,"Corballis","Michael Charles",,,,,,,,,,,
1972,"Corbett","Robert Edward",,,,,,,,,,,
1970,"Corkill","Lionel",1906,1987,,,,,,,,,
1997,"Corson","Stuart Ronald",,,,,,,,,,,
1961,"Cottier","William",1905,1964,,,,,,,,,
1921,"Cotton","Charles Andrew",1885,1970,,,,,,,,,
1990,"Coxon","James Morriss",,,,,,,,,,,
1944,"Cranwell Smith","Lucy May",1907,2000,,"female",,,,,,,
2002,"Crawford","Allan Muirhead",,,,,,,,,,,
1995,"Creamer","Lawrence Kenneth",,,,,,,,,,,
2011,"Cresswell","Maxwell John",,,,,,,,,,,
1973,"Cumberland","Kenneth Brailey",1913,2011,,,,,,,,,
2006,"Cundy","Timothy Frank",,,,,,,,,,,
1929,"Cunningham","Gordon Herriot",1892,1962,,,,,,,,,
1963,"Cunningham","Ira James",1905,1971,,,,,,,,,
1936,"Curtis","Kathleen Maisey",,,,"female",,,,,,,
1975,"Curtis","Neil Ferguson",,,,,,,,,,,
1999,"Daniel","Roy McIver",,,,,,,,,,,
1999,"Daugherty","Charles Hines",,,,,,,,,,,
1990,"Davey","Frederick John",,,,,,,,,,,
1985,"Davidson","Janet Majorie",,,,,,,,,,,
1976,"Davidson","William",,,,,,,,,,,
1998,"Davies","Clive Eric",,,,,,,,,,,
2009,"Davies","Stephen John",,,,,,,,,,,
2003,"Davis","George Henry",,,,,,,,,,,
2002,"Davis","Robert Olin",,,,,,,,,,,
1987,"Davison","Michael Charles",,,,,,,,,,,
2014,"Day","Catherine Louise",,,,"female",,,,,,,
2012,"Delahunt",,,,,,,,,,,,
1970,"de la Mare","Peter Bernard David",1920,1989,,,,,,,,,
1961,"Dell","Richard Kenneth",1920,2002,,,,,,,,,
1933,"Denham","Henry George",1880,1943,,,,,,,,,
2009,"Dennis","Terence",,,,,,,,,,,
1988,"Denny","William Alexander",,,,,,,,,,,
2010,"Derrick","Peter John",,,,,,,,,,,
1994,"Devine","Carrick Erskine",,,,,,,,,,,
1961,"Dixon","Joseph Keith",1906,1966,,,,,,,,,
1964,"Dodd","John Newton",1922,2005,,,,,,,,,
1938,"Donovan","William",1879,1950,,,,,,,,,
1983,"Dowden","Richard Lindsay",,,,,,,,,,,
2014,"Downard","Alison Joy",,,,"female",,,,,,,
1996,"Downey","Rodney Graham",,,,,,,,,,,
2000,"Dragunow","Michael",,,,,,,,,,,
1952,"Duff","Roger Shepherd",1912,1978,,,,,,,,,
1987,"Duffy","Geoffrey Graeme",,,,,,,,,,,
1968,"Duncan","James Francis",1921,2001,,,,,,,,,
2009,"Dunmore","John",,,,,,,,,,,
1994,"Durie","Mason Harold",,,,,,,,,,,
"Original","Easterfield","Thomas",1866,1949,,,,,,,,,
1950,"Eccles","John",1903,1997,,,,,,,,,
1948,"Edson","Norman Lowther",1904,1970,,,,,,,,,
1969,"Ellis","Albert James",,,,,,,,,,,
2013,"Ellis","Roderick James",,,,,,,,,,,
1961,"Ellyett","Clifton Darfield",1915,2006,,,,,,,,,
1994,"Elms","David George",,,,,,,,,,,
1992,"Espiner","Eric Arnold",,,,,,,,,,,
2011,"Etchegoin","Pablo Gabriel",1964,2013,,,,,,,,,
2001,"Evans","Ian William John Martin",,,,,,,,,,,
1930,"Evans","William Percival",1864,1959,,,,,,,,,
1968,"Evison","Frank Foster",1922,2005,,,,,,,,,
2003,"Fairburn","Miles",,,,,,,,,,,
1941,"Falla","Robert Alexander",1901,1979,,,,,,,,,
"Original","Farr","Clinton Coleridge",1866,1943,,,,,,,,,
2005,"Farrell","Roberta Lee",,,,,,,,,,,
1998,"Faull","Richard Lewis Maxwell",,,,,,,,,,,
1960,"Fell","Howard Barraclough",1917,1994,,,,,,,,,
2000,"Ferguson","Allan Ross",,,,,,,,,,,
2000,"Ferguson","Ian Brookman",,,,,,,,,,,
2006,"Fergusson","David Murray",,,,,,,,,,,
1961,"Fergusson","Gordon John",1922,2009,,,,,,,,,
1976,"Fergusson","Jack Eric",1933,2011,,,,,,,,,
1977,"Ferrier","Robert John",1932,2013,,,,,,,,,
1972,"Fieldes","Morice",1914,1973,,,,,,,,,
1961,"Filmer","John Francis",1895,1979,,,,,,,,,
1939,"Finlay","Harold John",1901,1951,,,,,,,,,
2010,"Fischer","Steven Roger",,,,,,,,,,,
1984,"Fitzgerald","Peter Hanley",,,,,,,,,,,
1952,"Fleming","Charles",1916,1987,,,,,,,,,
2002,"Flenley","John Roger",,,,,,,,,,,
1999,"Fletcher","Garth Joseph Owen",,,,,,,,,,,
2007,"Flynn","James Robert",,,,,,,,,,,
1947,"Forder","Henry George",1889,1981,,,,,,,,,
2014,"Fordyce","Robert Ewan",,,,,,,,,,,
1961,"Forster","Raymond Robert",1922,2000,,,,,,,,,
1994,"Franich","Robert Arthur",,,,,,,,,,,
1948,"Frankel","Otto",1900,1998,,,,,,,,,
1995,"Franklin","Samuel Harvey",,,,,,,,,,,
2004,"Fraser","John David",,,,,,,,,,,
2013,"Frauendiener","Jörg Thilo",,,,,,,,,,,
2014,"French","Nigel Peter",,,,,,,,,,,
1998,"Furneaux","Richard Hubert",,,,,,,,,,,
1962,"Gabites","John Fletcher",1913,2001,,,,,,,,,
1961,"Gage","Maxwell",1913,2000,,,,,,,,,
1998,"Galloway","David John",,,,,,,,,,,
2009,"Gander","Philippa Helen",,,,"female",,,,,,,
2001,"Gao","Wei",,,,,,,,,,,
1990,"Gardiner","Crispin William",,,,,,,,,,,
1999,"Gardner","Richard Clague",,,,,,,,,,,
2012,"Gerrard","Juliet Ann",,,,"female",,,,,,,
2002,"Gibson","Rosalind Susan",,,,"female",,,,,,,
1997,"Giggenbach","Werner Friedrich",1937,1997,,,,,,,,,
2004,"Gillett","Grant Randall",,,,,,,,,,,
1986,"Gluckman","Peter David",,,,,,,,,,,
1998,"Glynn","Edward Lewis",,,,,,,,,,,
1986,"Goddard","Graham",1938,1987,,,,,,,,,
1965,"Godley","Eric John",1919,2010,,,,,,,,,
1994,"Goh","Kuan Meng",1935,2014,,,,,,,,,
1990,"Goldblatt","Robert Ian",,,,,,,,,,,
2006,"Goldson","Stephen Latham",,,,,,,,,,,
2012,"Gordon","Keith Christopher",,,,,,,,,,,
1961,"Gourlay","Edwin Stewart",1901,1986,,,,,,,,,
2011,"Gover","Ashwin Roderick",,,,,,,,,,,
1942,"Grange","Leslie Issott",1894,1980,,,,,,,,,
2008,"Gray","Russell David",,,,,,,,,,,
1975,"Green","Roger Curtis",1932,2009,,,,,,,,,
2012,"Griffin","John Francis Thomas",,,,,,,,,,,
1968,"Grindley","George William",,,,,,,,,,,
2009,"Gunn","Alistair Jan",,,,,,,,,,,
1996,"Haines","Alan John",,,,,,,,,,,
1972,"Hall","David",,,,,,,,,,,
1992,"Halton","Brian",,,,,,,,,,,
1962,"Hamilton","William Maxwell",1909,1992,,,,,,,,,
2013,"Hannah","Robert",,,,,,,,,,,
2001,"Harding","Jane Elizabeth",,,,,,,,,,,
1999,"Harland","Peter William",,,,,,,,,,,
1995,"Harper","John Frederic",,,,,,,,,,,
1970,"Hartshorn","Michael Philip",,,,,,,,,,,
1998,"Harvey","John David",,,,,,,,,,,
1969,"Hatherton","Trevor",1924,1992,,,,,,,,,
1996,"Hawke","Gary Richard",,,,,,,,,,,
2002,"Hayne","Harlene",,,,,,,,,,,
2003,"Hayward","Bruce William",,,,,,,,,,,
1994,"Hearnshaw","John Bernard",,,,,,,,,,,
1929,"Henderson","John",1880,1959,,,,,,,,,
2000,"Hendy","Michael Donald",,,,,,,,,,,
2012,"Hendy","Shaun Cameron",,,,,,,,,,,
2007,"Herbison","Allan Edward",,,,,,,,,,,
1990,"Heslop","Barbara Farnsworth",1925,2013,,"female",,,,,,,
1992,"Higham","Charles Franklin Wandesforde",,,,,,,,,,,
1921,"Hilgendorf","Frederick William",1874,1943,,,,,,,,,
1997,"Hill","Diana Florence",,,,"female",,,,,,,
1992,"Hochstein","Manfred Paul",,,,,,,,,,,
1999,"Hodgkinson","Ian James",,,,,,,,,,,
1961,"Hodgson","Eliza Amy",1888,1983,,"female",,,,,,,
1998,"Hodgson","John",,,,,,,,,,,
"Original","Hogben","George",1853,1920,,,,,,,,,
1921,"Holloway","John Ernest",1881,1945,,,,,,,,,
1959,"Holloway","John Thorpe",1914,1977,,,,,,,,,
1994,"Holmes","Janet",,,,"female",,,,,,,
1993,"Holton","Derek Allan",,,,,,,,,,,
1963,"Hornibrook","Norcott de Bisson",1921,1994,,,,,,,,,
2010,"Hosking","John Gordon",,,,,,,,,,,
2013,"Howden-Chapman","Philippa Lynne",,,,"female",,,,,,,
1999,"Howard-Williams","Clive",,,,,,,,,,,
1977,"Hubbard","John Ingram",1930,1995,,,,,,,,,
"Original","Hudson","George Vernon",1867,1946,,,,,,,,,
2013,"Hulme","Philip Eric",,,,,,,,,,,
1997,"Hunter","Keith Andrew",,,,,,,,,,,
1994,"Hunter","Peter John",,,,,,,,,,,
1945,"Hutton","Colin Osborne",1910,1971,,,,,,,,,
2009,"Ip","Manying",,,,,,,,,,,
1996,"Irvine","Clifford Hugh Greenfield",1922,2010,,,,,,,,,
1997,"Isichei","Elizabeth Mary",,,,"female",,,,,,,
1999,"Irwin","Geoffrey Jacob",,,,,,,,,,,
2009,"Jackson","Macdonald Pairman",,,,,,,,,,,
2000,"Jackson","Robert Ray",,,,,,,,,,,
2003,"Jameson","Geoffrey Brind",,,,,,,,,,,
1977,"Jenkins","David Graham",1933,1995,,,,,,,,,
1964,"Johns","Alan Tutton",1917,1997,,,,,,,,,
1999,"Johnston","James Howard",,,,,,,,,,,
1985,"Jolly","Robert Dudley",,,,,,,,,,,
2009,"Jones","Lawrence Oliver",,,,,,,,,,,
2004,"Joyce","Peter Richard",,,,,,,,,,,
1998,"Kaiser","Alan Bernard",,,,,,,,,,,
1992,"Kalnins","Ernest Gunther",,,,,,,,,,,
2001,"Kasabov","Nikola Kirilov",,,,"female",,,,,,,
1994,"Kawharu","Hugh",1927,2006,,,,,,,,,
1971,"Kay","Leslie",,,,,,,,,,,
1973,"Kear","David",,,,,,,,,,,
1998,"Keey","Roger Brian",,,,,,,,,,,
2002,"Kelly","David",,,,,,,,,,,
1975,"Kerr","Roy Patrick",,,,,,,,,,,
2012,"Kettle","Anthony James",,,,,,,,,,,
2010,"Khmaladze","Estate V",,,,,,,,,,,
2005,"Khoussainov","Bakhadyr Mamasadikovich",,,,,,,,,,,
1988,"Kibblewhite","Robert Paul",,,,,,,,,,,
1931,"Kidson","Edward",1883,1939,,,,,,,,,
1963,"Kidson","Elsa Beatrice",1905,1979,,"female",,,,,,,
1971,"King","Geoffrey Alan Munro",1928,1985,,,,,,,,,
"Original","Kirk","Harry Borrer",1859,1948,,,,,,,,,
1990,"Kirton","Alan Henry",1933,2001,,,,,,,,,
1997,"Kistler","Joerg",,,,,,,,,,,
2012,"Klette","Reinhard",,,,,,,,,,,
1963,"Knox","George Alexander",1919,2008,,,,,,,,,
1922,"Laing","Robert Malcolm",1865,1941,,,,,,,,,
1998,"Lambert","David Martin",,,,,,,,,,,
1972,"Langer","Reinhart Hugo Michael",,,,,,,,,,,
1962,"Lawden","Derek Frank",1919,2008,,,,,,,,,
1950,"Laws","Charles Reed",1894,1985,,,,,,,,,
2004,"Leach","Helen May",,,,"female",,,,,,,
2005,"Le Gros","Graham Stephen",,,,,,,,,,,
2003,"Le Heron","Richard Bernard",,,,,,,,,,,
1991,"Lekner","John",,,,,,,,,,,
1976,"Liggins"," Graham",1926,2010,,,,,,,,,
1965,"Liley","William",1929,1983,,,,,,,,,
1961,"Lillie","Arnold Robert",1909,1999,,,,,,,,,
1964,"Llewellyn"," John",1915,1988,,,,,,,,,
1984,"Lloyd","David Graham",1937,2006,,,,,,,,,
2006,"Lobie","Peter Edward",,,,,,,,,,,
2007,"Lockhart","Peter James",,,,,,,,,,,
1988,"Lorimer","Peter James",1939,2010,,,,,,,,,
2010,"Lowe","David James",,,,,,,,,,,
1966,"Lyttelton","John Westcote",1919,1975,,,,,,,,,
2002,"MacKenzie","Kenneth John Dallas",,,,,,,,,,,
1981,"Macknight","Anthony Dunstan Crawfurd",,,,,,,,,,,
1926,"Maclaurin","James Scott",1864,1939,,,,,,,,,
1935,"Macleod","Donald Bannerman",1887,1972,,,,,,,,,
1995,"Macmillan","Keith Lindsay",,,,,,,,,,,
1980,"McCallion","Henry",,,,,,,,,,,
1962,"McDowall","Frederick Henry",1900,1974,,,,,,,,,
1984,"McDowall","Robert Montgomery",1939,2011,,,,,,,,,
1999,"McEwan","Andrew Craig",,,,,,,,,,,
2011,"McEwan","John Colin",,,,,,,,,,,
1993,"McEwan","Murray James",,,,,,,,,,,
1971,"McGillivray","William Anderson",1920,1995,,,,,,,,,
2008,"McGlone","Matthew Sean",,,,,,,,,,,
1995,"McKinnon","Alan John",,,,,,,,,,,
2002,"McLachlan","Robert Iain",,,,,,,,,,,
2007,"McLaren","Ronald George",,,,,,,,,,,
1961,"McLellan","Alister George",1919,2012,,,,,,,,,
1999,"McLeod","William Hewat",1932,2009,,,,,,,,,
1985,"McNabb","Alex",,,,,,,,,,,
1992,"McNatty","Kenneth Patrick",,,,,,,,,,,
2014,"McNaughton","Neil",,,,,,,,,,,
2008,"McQuillan","Alexander James",,,,,,,,,,,
2010,"Manhire","William",,,,,,,,,,,
1994,"Manly","Bryan Frederick John",,,,,,,,,,,
1993,"Mann","Joel Ivor",,,,,,,,,,,
1993,"Marbrook","John",,,,,,,,,,,
1978,"Mark","Alan Francis",,,,,,,,,,,
1978,"Markham","Kenneth Ronald",,,,,,,,,,,
1953,"Marples","Brian John",1907,1997,,,,,,,,,
1922,"Marsden","Ernest",1889,1970,,,,,,,,,
1994,"Marshall","Arthur Harold",,,,,,,,,,,
"Original","Marshall","Patrick",1869,1950,,,,,,,,,
2000,"Martin","Diana Rae",,,,"female",,,,,,,
1997,"Martin","Gaven John",,,,,,,,,,,
1935,"Marwick","John",1891,1978,,,,,,,,,
2013,"Matisoo-Smith","Elizabeth Anne",,,,,,,,,,,
1962,"Matthews","Richard Ellis Ford",1921,1995,,,,,,,,,
1990,"Mead","Sidney Moko",,,,,,,,,,,
2006,"Melville","Bruce William",,,,,,,,,,,
2002,"Mercer","Alison Ruth",,,,"female",,,,,,,
2009,"Mercer","Andrew Allan",,,,,,,,,,,
2014,"Merry","Alan Forbes",,,,,,,,,,,
1962,"Miles","John Arthur Reginald",1913,2004,,,,,,,,,
1931,"Miller","David",1890,1973,,,,,,,,,
1997,"Miller","Jeffrey Owen",,,,,,,,,,,
2006,"Minchin","Peter Etheridge Haviland",,,,,,,,,,,
2009,"Mitchell","Edwin Arthur",,,,,,,,,,,
1999,"Mitchell","Murray David",,,,,,,,,,,
2009,"Mondry","Henrietta",,,,,,,,,,,
1989,"Montgomery","John Charles",,,,,,,,,,,
1947,"Moore","Lucy Beatrice",1906,1987,,"female",,,,,,,
1993,"Moran","Warren",,,,,,,,,,,
2006,"Morgan","Hugh William",,,,,,,,,,,
1922,"Morgan","Percy Gates",1867,1927,,,,,,,,,
2000,"Morris","Allison Margaret",,,,"female",,,,,,,
1997,"Morris","Roger Stewart",,,,,,,,,,,
1969,"Morton","John Edward",1923,2011,,,,,,,,,
1997,"Moughan","Paul James",,,,,,,,,,,
1994,"Munro","Murray Herbert Gibson",,,,,,,,,,,
1994,"Munro","Peter Aaron",,,,,,,,,,,
2009,"Musgrave","Alan Edward",,,,,,,,,,,
2014,"Naish","Timothy Raymond",,,,,,,,,,,
2009,"Neill","Michael Acton Fyans",,,,,,,,,,,
1994,"Nelson","Campbell Symes",,,,,,,,,,,
2010,"Nelson","Wendy Alison",,,,"female",,,,,,,
2010,"Nies","André",,,,,,,,,,,
2009,"Nola","Robert",,,,,,,,,,,
2009,"Norton","David Waterlow",,,,,,,,,,,
1996,"Ng","Sik Hung",,,,,,,,,,,
1998,"Norris","Richard John",,,,,,,,,,,
2009,"O’Brien","Eamonn Anthony",,,,,,,,,,,
1986,"O’Connor","Charmian Jocelyn",,,,,,,,,,,
1999,"Ogden","Jennifer Ann",,,,,,,,,,,
1995,"Ogden","John",,,,,,,,,,,
1927,"Oliver","Walter Reginald Brook",1883,1957,,,,,,,,,
2009,"Oliver","William Hosking",,,,,,,,,,,
1998,"Olssen","Erik Newland",,,,,,,,,,,
1948,"Ongley","Montague",1888,1976,,,,,,,,,
2004,"Oxley","Leslie Thornton",,,,,,,,,,,
1964,"Packer","John",1899,1971,,,,,,,,,
1949,"Page","Robert Owen",1897,1957,,,,,,,,,
1981,"Pandey","Kamla Kant",1926,1987,,,,,,,,,
1921,"Park","James",1857,1947,,,,,,,,,
1978,"Park","Robert",,2004,,,,,,,,,
1989,"Parry","David Anthony Dougall",,,,,,,,,,,
1983,"Paulay","Thomas",1923,2009,,,,,,,,,
2004,"Pavlov","Boris Sergeivich",,,,,,,,,,,
1989,"Pawley","Andrew Kenneth",,,,,,,,,,,
2005,"Pearce","Neil Edward",,,,,,,,,,,
1974,"Penfold","Bruce Russell",,,,,,,,,,,
1990,"Penny","Edward David",,,,,,,,,,,
1952,"Percival","Edward",1893,1959,,,,,,,,,
2009,"Perry","Nicholas Holt",,,,,,,,,,,
1985,"Petersen","George Bouet",,,,,,,,,,,
1973,"Petersen","Gordon Marshall",1921,1996,,,,,,,,,
"Original","Petrie","Donald",1846,1925,,,,,,,,,
1963,"Philipson","William Raymond",1911,1997,,,,,,,,,
1968,"Phillips","Leon Francis",,,,,,,,,,,
1930,"Philpot","Alfred",1871,1930,,,,,,,,,
1995,"Philpott","Bryan Passmore",1921,2000,,,,,,,,,
1963,"Piddington","Ralph O’Reilly",1906,1974,,,,,,,,,
1979,"Poletti","Alan Ronald",,,,,,,,,,,
1994,"Pool","Ian",,,,,,,,,,,
1962,"Poole","Alick Lindsay",1908,2008,,,,,,,,,
2001,"Poulin","Robert",,,,,,,,,,,
2010,"Poulton","Richie Graham",,,,,,,,,,,
1940,"Powell","Arthur William Baden",1901,1987,,,,,,,,,
2012,"Pratt","John Dennis",,,,,,,,,,,
1981,"Prior","Ian Ambury Miller",1923,2009,,,,,,,,,
1964,"Probine","Mervyn Charles",1924,2010,,,,,,,,,
2009,"Pullan","Andrew John",1963,2012,,,,,,,,,
1967,"Purves","Herbert Dudley",1908,1993,,,,,,,,,
1973,"Rae","Alexander Lindsay",1923,2009,,,,,,,,,
2014,"Raeburn","Iain Fraser",,,,,,,,,,,
1961,"Rafter","Thomas Athol",1913,1996,,,,,,,,,
2007,"Rainey","Paul Barton",,,,,,,,,,,
